MaxQuant_name	Sample_name	Type	Group	Batch	Reference
Reporter_intensity_corrected_1_lysate_TMT	VCR_1	Lysate	VCR	1	N
Reporter_intensity_corrected_2_lysate_TMT	VCR_2	Lysate	VCR	1	N
Reporter_intensity_corrected_3_lysate_TMT	VCR_3	Lysate	VCR	1	N
Reporter_intensity_corrected_4_lysate_TMT	DMSO_1	Lysate	DMSO	1	N
Reporter_intensity_corrected_5_lysate_TMT	DMSO_2	Lysate	DMSO	1	N
Reporter_intensity_corrected_6_lysate_TMT	DMSO_3	Lysate	DMSO	1	N
Reporter_intensity_corrected_1_phospho_TMT	VCR_1	Phospho	VCR	1	N
Reporter_intensity_corrected_2_phospho_TMT	VCR_2	Phospho	VCR	1	N
Reporter_intensity_corrected_3_phospho_TMT	VCR_3	Phospho	VCR	1	N
Reporter_intensity_corrected_4_phospho_TMT	DMSO_1	Phospho	DMSO	1	N
Reporter_intensity_corrected_5_phospho_TMT	DMSO_2	Phospho	DMSO	1	N
Reporter_intensity_corrected_6_phospho_TMT	DMSO_3	Phospho	DMSO	1	N
